variable,n,mean,sd,min,max,outliers_removed
Above-mid volume,894,8623353.332214765,6457936.242602742,2253850.0,90779736.0,0
Below-mid volume,894,8516790.495525727,6696138.629318599,2022558.0,97096228.0,0
At-mid volume,894,890937.4608501119,1502049.5474021896,23701.0,24788149.0,0
Daily VWAP price change (%),893,0.17035802879124978,2.50502037561121,-24.22231919782094,25.384638238923607,0
Total volume,894,18031081.288590603,14375656.645863323,4561826.0,212664113.0,0
