drift_sign,x_col,y_col,status,n_obs,slope,intercept,r_value,r_squared,p_value,stderr
detectable_downward_drift,mu_hat_d,next_day_close_cum_return_d1,ok,164,-0.8366682191390866,-0.0026042361149700545,-0.09747315574755942,0.009501016091387976,0.2143558691875399,0.6711780665119609
detectable_downward_drift,mu_hat_d,future_mu_hat_1d,ok,164,0.06777104032053645,0.00025259746651639894,0.006950797167453099,4.8313581263074026e-05,0.9296113343282669,0.7660225212537516
detectable_upward_drift,mu_hat_d,next_day_close_cum_return_d1,ok,315,-0.06551536368082969,0.002263423480602274,-0.058201532748882456,0.003387418414319237,0.30313148259914424,0.06351842899751949
detectable_upward_drift,mu_hat_d,future_mu_hat_1d,ok,314,-0.03947136329126932,0.0016647173538213973,-0.03675603216488919,0.0013510059005063684,0.5163769760905039,0.060755086170981014
no_detectable_drift,mu_hat_d,next_day_close_cum_return_d1,ok,474,-2.1861605821506456,0.036909582644979344,-0.043807657546819034,0.0019191108597393708,0.34124970377265884,2.2947950192836055
no_detectable_drift,mu_hat_d,future_mu_hat_1d,ok,474,-0.5529498826775485,0.008311035532292073,-0.054223874759834076,0.002940228593970171,0.23868208708776667,0.4686890633164365
