frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,mean_current_sigma_hat,mean_future_mu_hat,mean_future_sigma_hat,mean_realized_cum_bps,mean_realized_max_up_bps,mean_realized_max_down_bps
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,1,1,-0.0030001406159809413,0.038190405140253555,-0.0007831442854624449,0.002613910001774082,395.90968208734756,395.90968208734756,395.90968208734756
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,2,1,-0.0030001406159809413,0.038190405140253555,-0.00048690587459033395,0.002293510413939665,329.3573240931358,329.3573240931358,329.3573240931358
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,3,1,-0.0030001406159809413,0.038190405140253555,-0.0004315283967960523,0.00203447317345077,306.59146973066373,306.59146973066373,306.59146973066373
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,4,1,-0.0030001406159809413,0.038190405140253555,-0.0003766908691176611,0.0018809874380270597,274.5011828904498,274.5011828904498,274.5011828904498
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,5,1,-0.0030001406159809413,0.038190405140253555,-0.0003539570654682578,0.001798280631836394,233.34379857800957,233.34379857800957,233.34379857800957
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,6,1,-0.0030001406159809413,0.038190405140253555,-0.0003589808859831499,0.001840127203743962,179.06562831262684,179.06562831262684,179.06562831262684
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,7,1,-0.0030001406159809413,0.038190405140253555,-0.00023929365347890346,0.0018188348250141712,155.99618604968057,155.99618604968057,155.99618604968057
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,8,1,-0.0030001406159809413,0.038190405140253555,-0.0002195595970179931,0.0018708352926183915,136.2470564631879,136.2470564631879,136.2470564631879
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,9,1,-0.0030001406159809413,0.038190405140253555,-0.000180599537400109,0.0018468257062073071,126.54144156645674,126.54144156645674,126.54144156645674
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,10,1,-0.0030001406159809413,0.038190405140253555,-0.00013158479207685166,0.001858172300265017,119.35556272932635,119.35556272932635,119.35556272932635
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,11,1,-0.0030001406159809413,0.038190405140253555,-0.00013710031201603768,0.0018527516643368632,116.10155465300531,116.10155465300531,116.10155465300531
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,12,1,-0.0030001406159809413,0.038190405140253555,-0.00015285886493630793,0.0018415360068265013,108.53543487360452,108.53543487360452,108.53543487360452
daily_zoom,detectable_downward_drift,exclusive_location,above_mid_only,13,1,-0.0030001406159809413,0.038190405140253555,-0.00013735903438086275,0.0018813424969585562,88.42596017877736,88.42596017877736,88.42596017877736
daily_zoom,detectable_downward_drift,exclusive_location,none,1,163,-0.00391551925356978,0.023717697868404837,1.0223020582004447e-05,0.0016715271111365875,5.631021593577129,5.631021593577129,5.631021593577129
daily_zoom,detectable_downward_drift,exclusive_location,none,2,163,-0.00391551925356978,0.023717697868404837,3.3657183833737182e-06,0.0014399591876232349,5.705190815626578,5.705190815626578,5.705190815626578
daily_zoom,detectable_downward_drift,exclusive_location,none,3,163,-0.00391551925356978,0.023717697868404837,2.511614951501162e-06,0.0012947061483122504,5.206666277894541,5.206666277894541,5.206666277894541
daily_zoom,detectable_downward_drift,exclusive_location,none,4,163,-0.00391551925356978,0.023717697868404837,5.030556427644066e-07,0.0011959658832843042,5.098624845135618,5.098624845135618,5.098624845135618
daily_zoom,detectable_downward_drift,exclusive_location,none,5,163,-0.00391551925356978,0.023717697868404837,6.72423681738344e-07,0.001116980594092118,4.625100966559269,4.625100966559269,4.625100966559269
daily_zoom,detectable_downward_drift,exclusive_location,none,6,163,-0.00391551925356978,0.023717697868404837,-1.5540061485510557e-07,0.001054920529531452,4.445798008187425,4.445798008187425,4.445798008187425
daily_zoom,detectable_downward_drift,exclusive_location,none,7,163,-0.00391551925356978,0.023717697868404837,3.1148099362738977e-07,0.0010072291422761265,4.172171968877663,4.172171968877663,4.172171968877663
daily_zoom,detectable_downward_drift,exclusive_location,none,8,163,-0.00391551925356978,0.023717697868404837,6.886849519791337e-07,0.0009729788910351687,4.150993110536397,4.150993110536397,4.150993110536397
daily_zoom,detectable_downward_drift,exclusive_location,none,9,163,-0.00391551925356978,0.023717697868404837,5.445734349927594e-07,0.0009425918473724457,4.631821367737433,4.631821367737433,4.631821367737433
daily_zoom,detectable_downward_drift,exclusive_location,none,10,163,-0.00391551925356978,0.023717697868404837,1.5978277550513126e-06,0.0009187465887809164,5.11583703998091,5.11583703998091,5.11583703998091
daily_zoom,detectable_downward_drift,exclusive_location,none,11,163,-0.00391551925356978,0.023717697868404837,2.1299293827545753e-06,0.0008962856083565276,5.721270114656009,5.721270114656009,5.721270114656009
daily_zoom,detectable_downward_drift,exclusive_location,none,12,163,-0.00391551925356978,0.023717697868404837,1.3648829604270364e-06,0.0008784780596041512,6.0620456100338265,6.0620456100338265,6.0620456100338265
daily_zoom,detectable_downward_drift,exclusive_location,none,13,163,-0.00391551925356978,0.023717697868404837,1.775385938211312e-06,0.0008661647442450914,6.6370253682242515,6.6370253682242515,6.6370253682242515
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,1,1,0.0023210217333220064,0.015739625982185836,8.131986412959572e-05,0.002054951756186367,-6.800354270467546,-6.800354270467546,-6.800354270467546
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,2,1,0.0023210217333220064,0.015739625982185836,-8.63650082707205e-05,0.0015933954281739308,-31.610334842476774,-31.610334842476774,-31.610334842476774
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,3,1,0.0023210217333220064,0.015739625982185836,3.193970994878923e-05,0.0013895445059418016,-33.1459650299637,-33.1459650299637,-33.1459650299637
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,4,1,0.0023210217333220064,0.015739625982185836,6.408438409427249e-05,0.0012239953625245972,-26.119121603598305,-26.119121603598305,-26.119121603598305
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,5,1,0.0023210217333220064,0.015739625982185836,6.698602670361709e-05,0.001117495087783934,-19.904735016764707,-19.904735016764707,-19.904735016764707
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,6,1,0.0023210217333220064,0.015739625982185836,7.47959003315874e-05,0.001042507060805558,-9.668806329830026,-9.668806329830026,-9.668806329830026
