trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2025-03-04,2025-03-04,389,1.0,1,-0.0035150081955664988,-1,0.0035150081955664988,65.33811835098538,266.6592007375682,266.6592007375682,4.001182279247858,4.001182279247858,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0035150081955664988,0.016767394831409727,63
2025-03-06,2025-03-06,389,1.0,1,-0.005553195425644264,-1,0.005553195425644264,20.031548167038615,80.7539099058933,80.7539099058933,2.229116344111996,2.229116344111996,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.005553195425644264,0.01753963892834295,63
2025-03-07,2025-03-07,389,1.0,1,-0.005792871931555189,-1,0.005792871931555189,45.2305439808153,252.36312879356876,252.36312879356876,2.8472057980839676,2.8472057980839676,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.005792871931555189,0.019097720302933798,63
2025-03-10,2025-03-10,389,1.0,1,-0.008388889453638592,-1,0.008388889453638592,27.016155586650928,184.37659264922914,184.37659264922914,1.9896223752435374,1.9896223752435374,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.008388889453638592,0.02074658317733147,63
2025-03-11,2025-03-11,389,1.0,1,-0.007826017081525576,-1,0.007826017081525576,46.86087233588361,455.9780614954732,455.9780614954732,2.1945141979094944,2.1945141979094944,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.007826017081525576,0.020998227470945586,63
2025-03-12,2025-03-12,389,1.0,1,-0.006838695232362638,-1,0.006838695232362638,29.57229268381405,153.47771436922986,153.47771436922986,2.3870544982329998,2.3870544982329998,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.006838695232362638,0.02190167495257939,63
2025-03-13,2025-03-13,389,1.0,1,-0.009423649882629533,-1,0.009423649882629533,32.02051211623608,82.30870232340108,82.30870232340108,3.529436690707314,3.529436690707314,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.009423649882629533,0.02261114668718119,63
2025-03-14,2025-03-14,389,1.0,1,-0.008495577817438177,-1,0.008495577817438177,15.009544045204066,24.820167527048074,24.820167527048074,3.0127642226440656,3.0127642226440656,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.008495577817438177,0.022990846925212173,63
2025-03-17,2025-03-17,389,1.0,1,-0.00868230980889723,-1,0.00868230980889723,22.692393396347622,30.114385067958565,30.114385067958565,4.135169388658959,4.135169388658959,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.00868230980889723,0.023032695476958694,63
2025-03-19,2025-03-19,389,1.0,1,-0.009278417270472052,-1,0.009278417270472052,20.851226200698196,36.72129112917102,36.72129112917102,3.440904572012686,3.440904572012686,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.009278417270472052,0.023829592687108454,63
2025-03-25,2025-03-25,389,1.0,1,-0.0032800513244918336,-1,0.0032800513244918336,17.255135899089414,22.372467896506368,22.372467896506368,3.64805550354503,3.64805550354503,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0032800513244918336,0.02645928611472313,63
2025-03-26,2025-03-26,389,1.0,1,-0.0036836418305023514,-1,0.0036836418305023514,23.027506438869466,29.794176651504674,29.794176651504674,4.218725015960687,4.218725015960687,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0036836418305023514,0.026052967485440687,63
2025-03-28,2025-03-28,389,1.0,1,-0.006561873315118272,-1,0.006561873315118272,13.871011243901142,13.520228733596129,13.520228733596129,3.77238582477952,3.77238582477952,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.006561873315118272,0.025987972098474407,63
2025-03-31,2025-03-31,389,1.0,1,-0.006791557441548774,-1,0.006791557441548774,38.121832052195224,88.60789389779052,88.60789389779052,4.0498371198355185,4.0498371198355185,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.006791557441548774,0.026930574863809453,63
2025-04-01,2025-04-01,389,1.0,1,-0.005689867027585032,-1,0.005689867027585032,21.698783047583802,113.73761391055996,113.73761391055996,2.034620055635019,2.034620055635019,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.005689867027585032,0.026871267431542445,63
2025-04-02,2025-04-02,389,1.0,1,-0.004510155074874511,-1,0.004510155074874511,29.747837344753705,48.31594141275864,48.31594141275864,4.2796689436024735,4.2796689436024735,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.004510155074874511,0.02542915689605243,63
2025-04-03,2025-04-03,389,1.0,1,-0.009493031908635369,-1,0.009493031908635369,32.893443114212396,87.58189427999089,87.58189427999089,3.514812550283236,3.514812550283236,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.009493031908635369,0.030258559173530417,63
2025-04-07,2025-04-07,389,1.0,1,-0.008817915644608824,-1,0.008817915644608824,323.260777307705,10377.19376178267,10377.19376178267,3.173314016044211,3.173314016044211,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.008817915644608824,0.03150329987751518,63
2025-04-08,2025-04-08,389,1.0,1,-0.00707118851184042,-1,0.00707118851184042,39.38928887230366,278.5110031840673,278.5110031840673,2.3602443212867383,2.3602443212867383,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.00707118851184042,0.03271219915334441,63
2025-04-09,2025-04-09,389,1.0,1,-0.0030001406159809413,-1,0.0030001406159809413,201.55338821794288,5805.90256915981,5805.90256915981,2.645180006908246,2.645180006908246,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0030001406159809413,0.038190405140253555,63
2025-04-10,2025-04-10,389,1.0,1,-0.0059201968749106595,-1,0.0059201968749106595,96.25118275968386,651.6080967586981,651.6080967586981,3.7706206260173265,3.7706206260173265,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.0059201968749106595,0.03843197321379865,63
2025-04-14,2025-04-14,389,1.0,1,-0.006115321382018286,-1,0.006115321382018286,25.41219713739312,117.05296250105378,117.05296250105378,2.3488268937369163,2.3488268937369163,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.006115321382018286,0.03824979267987692,63
2025-04-15,2025-04-15,389,1.0,1,-0.007119097762433135,-1,0.007119097762433135,17.599018227164862,30.927826951740112,30.927826951740112,3.1645629396226687,3.1645629396226687,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.007119097762433135,0.038268612091612676,63
